Name,URL,Free or Paid,Description,Affiliate or Referral Program,SubID
Anki,https://apps.ankiweb.net/,Free desktop/Android/Web; paid iOS app,"Open-source spaced-repetition flashcards for vocabulary, sentences, audio, and custom decks.",Couldn't verify an official affiliate/referral program,TOOL01
Quizlet,https://quizlet.com/,Freemium,"Flashcard creator with Learn, Test, games, and shared Japanese/Korean sets.",Couldn't verify,TOOL02
Bunpro,https://bunpro.jp/,Paid after trial,Japanese grammar SRS organized by JLPT level with example sentences and reading practice.,Yes — account referral program awards B-Points and subscription tokens; not verified as a cash affiliate program,TOOL03
Bunpo,https://bunpo.app/,Freemium,Guided Japanese and Korean lessons with grammar explanations and quizzes.,Yes — Bunpo Creator affiliate program provides unique tracked links,TOOL04
Renshuu,https://www.renshuu.org/,Freemium,"Customizable Japanese SRS for kana, kanji, vocabulary, grammar, and sentences.",Couldn't verify,TOOL05
Jisho,https://jisho.org/,Free,"Fast Japanese-English dictionary with kanji, example sentences, and JLPT tags.",Couldn't verify; no public program found,TOOL06
Papago,https://papago.naver.com/,Free,"Naver translation tool particularly useful for checking Korean and Japanese words, sentences, and pronunciation.",Couldn't verify; no public program found,TOOL07
Tae Kim's Guide to Japanese Grammar,https://guidetojapanese.org/learn/,Free,Structured online Japanese grammar reference from basic writing systems through advanced constructions.,Couldn't verify; no public program found,TOOL08
How to Study Korean,https://www.howtostudykorean.com/,Free lessons; paid companion materials available,"Large Korean curriculum with vocabulary, grammar explanations, audio, and exercises.",Couldn't verify,TOOL09
Japan Association for Refugees — Working in Japan Basic Japanese PDF,https://www.refugee.or.jp/for_refugees/postfile/working_in_japan_basic_japanese_201502.pdf,Free,"Printable workplace-Japanese guide covering greetings, permissions, locations, safety, and practical job communication.",No public affiliate/referral program found,TOOL10
